School Giga ID,School Name,Longitude,Latitude,Education Level,Country ISO3 Code,Country Name,School Data Source
46bba160-98b4-3510-8520-d1ab76f11a99,GARISSA BUSARA JUNIOR PRIMARY SCHOOL,39.644893646240234,-0.416348993778229,Primary,KEN,Kenya,
4faaffc9-d29d-3a56-86e9-35b068258d0a,GARISSA PROGRESSIVE ACADEMY,39.65629959106445,-0.429949998855591,Primary,KEN,Kenya,
23331a51-c732-3c44-99a9-69d919be40e1,GARISSA QUEENS SECONDARY SCHOOL,39.67399978637695,-0.434899985790253,Secondary,KEN,Kenya,
363cc892-c5d3-359a-9fae-53626c6e3f45,GARISSA ROAD,37.07600021362305,-1.049160003662109,Primary,KEN,Kenya,
84c30472-f40e-331a-8af1-88f5a937f982,G.K PRISON KAJIADO,36.770851135253906,-1.852329969406128,Primary,KEN,Kenya,
7166cab8-722c-36e3-a0a0-801e4ac7396d,HEKIMA SCHOOL KISUMU,34.77799987792969,-0.071999996900558,Primary,KEN,Kenya,
b1be9fc1-e11c-3faa-aec4-436654299258,HON. KIRAGU STEPHEN SECONDARY SCHOOL,37.299278259277344,-0.621895015239716,Secondary,KEN,Kenya,
cf5d69c5-5568-3b1e-ac32-4726fc627eaf,KAJIADO HILL INTEGRATED SCHOOL,36.76253890991211,-1.82134997844696,Primary,KEN,Kenya,
e901b6b0-ca71-36af-9e0e-6e854912664e,KAJIADO SUB COUNTY  PRIVATE CENTRE,36.78936004638672,-1.845029950141907,Secondary,KEN,Kenya,
24910c56-df6e-3d93-a4b0-0fa68a33d879,KAJIADO TOWNSHIP MIXED DAY SECONDARY SCHOOL,36.78926086425781,1.844483971595764,Secondary,KEN,Kenya,
7fd97070-69bf-3268-a0b3-2858b26cf7e8,KAKAMEGA TOWNSHIP,34.75709915161133,0.268599987030029,Primary,KEN,Kenya,
9aa9907b-859a-39d0-a4fd-143e2a171066,KIAMABARA SECONDARY SCHOOL,37.11389923095703,0.519860029220581,Secondary,KEN,Kenya,
e3b76aaf-d504-3b18-996a-0878a218d588,KIAMABUNDU SECONDARY SCHOOL,34.4546012878418,0.413300007581711,Secondary,KEN,Kenya,
30a82bec-e0ad-3631-b056-a4325e75fe8c,KILIMANI - NAIROBI,36.781982421875,-1.290217995643616,Primary,KEN,Kenya,
8a6a032d-4dd7-37b1-9729-d10ac4d64861,KIRANGARI HIGH SCHOOL,36.75514221191406,-1.220382690429688,Secondary,KEN,Kenya,
513230b5-df62-3493-bf29-536d6f65c7a8,KIRANGA SECONDARY SCHOOL,37.0346794128418,-0.913028001785278,Secondary,KEN,Kenya,
dd9ec1f2-d326-39f3-a16b-a94826df23c1,KISUMU BOYS HIGH SCHOOL,34.757991790771484,-0.099789999425411,Secondary,KEN,Kenya,
dece39cd-600b-39f0-9da8-ba83f53147a4,KISUMU DAY PRIMARY,34.76599884033203,-0.10700000077486,Primary,KEN,Kenya,
5d3a9622-9b42-3601-98cb-f81f3956ef0b,KISUMU  MAIN PRISON,34.7099609375,-0.062419999390841,Primary,KEN,Kenya,
d217af30-f310-32b5-9364-36e02e7ac01c,KITUI CENTRAL SUB COUNTY PRIVATE CENTRE,38.00419998168945,-1.373170018196106,Secondary,KEN,Kenya,
adfffcb1-9d29-3728-99d8-718fcee8529e,KITUI HIGH,38.00503158569336,-1.373291254043579,Secondary,KEN,Kenya,
341684ae-6b79-3d8f-9ef5-4976d6b966e2,KITUIUNI,37.381309509277344,1.828840017318726,Primary,KEN,Kenya,
b01fb2c6-dd12-30be-b09b-e7ba870c8bc7,KOELEL HIGH SCHOOL,36.30670928955078,-0.486470013856888,Secondary,KEN,Kenya,
18633c80-7f03-350c-918e-16dfd67d1ed1,KOINANGE - NAKURU,36.054443359375,-0.293134272098541,Primary,KEN,Kenya,
e1ed800c-f339-38be-a6de-2a5fdc892162,LAIKIPIA AIR BASE,37.04058074951172,0.031621001660824,Primary,KEN,Kenya,
4e269194-f095-3505-86cf-cbca8a1e37d0,LAIKIPIA EAST SUB COUNTY PRIVATE CENTRE,37.069698333740234,0.026629999279976,Secondary,KEN,Kenya,
ee0976a9-10af-3b94-8628-ddb6d9cc3359,MACHAKOS BOYS,38.184715270996094,-1.502894997596741,Secondary,KEN,Kenya,
a753175f-b6ec-384b-8669-4a05b0d8891d,MACHAKOS GLORIOUS GIRLS SECONDARY SCHOOL,37.270198822021484,1.484300017356873,Secondary,KEN,Kenya,
ec4edb15-bc65-3cc9-a253-0a43815cccd5,MACHAKOS SUB COUNTY PRIVATE CENTRE,37.246482849121094,1.515663266181946,Secondary,KEN,Kenya,
a99c879e-f909-354c-86db-6f27bfce731b,MACHESA  PRIMARY,40.27399826049805,1.012830018997192,Primary,KEN,Kenya,
eb957556-fc2a-3c62-90a8-56036034c2b2,MACHICHA MIXED SECONDARY SCHOOL,34.35797882080078,-1.104150056838989,Secondary,KEN,Kenya,
a02215e6-05ff-3326-a757-732aed5a5ac7,MANYATTA - LAIKIPIA,36.53239440917969,0.275759905576706,Primary,KEN,Kenya,
5b37f113-b49d-37d9-a924-696211c08b57,MARSABIT LITTLE ANGELS PREPARATORY,38.00213623046875,2.358669996261597,Primary,KEN,Kenya,
f8d9e694-f7d9-3c80-a7fa-8638aab04012,MAU NAROK SECONDARY SCHOOL,36.010990142822266,-0.602259993553162,Secondary,KEN,Kenya,
a1d2854c-fffb-363f-97fc-01d43b44cb62,MIGORI SUB COUNTY PRIVATE CENTRE,34.47679901123047,-1.051689982414246,Secondary,KEN,Kenya,
56845fd9-c24e-3a2b-a87b-cebcbc5b644f,MOMBASA BAPTIST HIGH SCHOOL,39.6619758605957,-4.038823127746582,Secondary,KEN,Kenya,
2f77b7fa-4fcb-3424-be7b-f78623415313,MOMBASA NOBLE EDUCATION CENTRE,39.66640090942383,-4.04709005355835,Secondary,KEN,Kenya,
fc57d7eb-2229-38fc-bd32-1938779d3f1f,MURAGARA SECONDARY SCHOOL,37.202999114990234,-0.441000014543533,Secondary,KEN,Kenya,
872f0c2f-a7c4-31bd-81a4-cb4247e44612,MURAGARI,37.54140853881836,0.399470001459122,Primary,KEN,Kenya,
1fe573a6-0400-35fb-b3b8-84e2a2eec0fb,MURAMATI SECONDARY SCHOOL,37.07749938964844,0.120049998164177,Secondary,KEN,Kenya,
77921379-6e7a-3449-a0e0-7bc47dc1de66,MURANG'A EAST SUB COUNTY PRIVATE CENTRE,36.76906967163086,-1.2953200340271,Secondary,KEN,Kenya,
a85ef2d8-aa07-3d20-b9fe-7d283c9a41ce,MURANG'A GIRLS BOARDING SCHOOL,37.234798431396484,-0.85895299911499,Secondary,KEN,Kenya,
ec02fb59-5852-3d92-8644-cb3331cf3193,NAIROBI MUSLIM ACADEMY,36.8817253112793,-1.31679105758667,Secondary,KEN,Kenya,
6503b241-e1b1-3438-a004-0875288a988d,NAIROBI MUSLIM ACADEMY,36.8236198425293,-1.312085032463074,Primary,KEN,Kenya,
